id,name,type,root
595f5162f036a465744b6028,Ashish Dhawan,crunchbase,
590aec10d995c4eafbd9924c,Ashish Agrawal,crunchbase,
595f34cae71539cd03c7dabd,Ashim Mehra,manualEntry,
595e0347a896091181f49838,Asha Impact,crunchbase,
yKEYfdHaeyn26paHG,Asgard Capital,crunchbase,
NajGsY8ejzSjEnKRd,Ascent Capital,crunchbase,
nTQGxSF7kmayoYXGW,Ascend Money,manualEntry,
CfRqmXXDJMqPd99B5,Arya Setiadharma,manualEntry,
595ee6f8cbc6a5a0f290c7b1,ARVIND JHA,crunchbase,
5947261fef719a5f92573c4b,Arun Venkatachalam,crunchbase,
59785932b5cf3496dd32a59d,Arun Tadanki,crunchbase,
58ddf19be7eb0e22fceab283,Arun Seth,crunchbase,
58da29833f37d408fe818d78,Arun Sarin,crunchbase,
58db15cd44bdfd657b8b37e0,Arun Narayanan,crunchbase,
595c5c3caf972486ee04e0ae,Arun Nair,manualEntry,
595f0e203ed70de1d1b00d1c,Arun Malhotra,crunchbase,
58e66cb6463caf8fa29d940e,Artiman Ventures,crunchbase,
j4GWsFaHGw9vGTW4g,Arthur Kho,crunchbase,
hZbYncZyyxnzct696,Artha India Ventures,crunchbase,
9xjCM3DNFtY6JJAPf,Artesian Capital Management,crunchbase,
adXCeBoWNsCgW8K2R,Arpwood Investment Advisors,manualEntry,
58ca5c778f4d2cf782b10733,Arpan Nagdeve,crunchbase,
GbYAqL6xrpYDwbzbe,Arocrest Captial,crunchbase,
awGxoyAk2HJeBZgk9,Arnout Wagenaar,crunchbase,
oqtykrpFotS57Jcrx,Arnold Tandra,manualEntry,
9dzk3b8kEGqdDKMjC,Arne Lindman,crunchbase,
wqHAsYRczAwJzL5Ey,Arnaud Lachaume,crunchbase,
3ED38HbxQx9YaKAgw,Arjun Handa,crunchbase,
C6CwT58D5G9oAkPMh,Arjun Dhawan,crunchbase,
HXgzg47GoBikXmq5K,Arihant Patni,manualEntry,
591d54ed0cc500cd71c9f033,Arihant Jain,crunchbase,
jmyRstAs2zCdbLnHz,Ariel Poler,crunchbase,
GuXL4Fxnbxi7sFpff,Aria Ventures,crunchbase,
5937764fa80bbf666fad0c6a,Ares Management,crunchbase,
YXgNPMniS6ytEf3xr,Ardent Capital,crunchbase,
uaWnB6axPim7Jivvp,ArdenPoint,crunchbase,
BeyWM5aDHn5orSdND,ARCH Venture Partners,manualEntry,
4foxGZaKvKzNmAz2W,Arc90,crunchbase,
D5sbbYAcNTo7YiEJT,Arbor Ventures,crunchbase,
592e7860b036d9e524eac6a6,Arab Angel Fund,crunchbase,
58d87b6bac4302f70817359a,Aqualand Capital,manualEntry,
hg82MvxgHKFvnCM9p,AQUA Ventures (浅石创投),manualEntry,
590a92d58193a24ed078ec5f,APUS Investments,crunchbase,
