id,name,type
2pR4X2Nvzsc7cpctd,Anduin Capital,manualEntry
4FpnFLcomHGhooZZL,Nagendra Chaudhary,crunchbase
4XQDFezKPCHYZnot2,Primavera (春华资本),manualEntry
5y5oEqZAfnbz8HXY3,Australian Renewable Energy Agency,manualEntry
6YRxipYfDCf3eqCYf,Rob de Heus,crunchbase
6aFkTbdxcbmntvdbf,Maverick Capital,crunchbase
6e8DrAMRWBpEYauGd,Rohit Chauhan,crunchbase
6vFXrEzsYvnATYBDh,Bukit Timah Capital,crunchbase
72tohdzpFns26YdWu,Cheerland Investments,crunchbase
7t6LJGPWsaxdWPfHR,DBS Bank,manualEntry
86h9KF6za7nCLxtda,JHF Investment (金慧丰投资),manualEntry
88S4wF9dazCRKtqui,Andrew Banks,manualEntry
8dzJX2jSn6HNWzxsK,Lighter Capital (能图资本),manualEntry
8gZrozTjaCyJMfMEJ,Convergence Ventures,crunchbase
97syxwzrH3nkwWjeS,Niraj Singh,crunchbase
2DYw9a6Fb93fAfB48,Tunlan Investment (暾澜投资),manualEntry
2P3pXD5W3LHCE8q9G,Peter Stern,crunchbase
2T43m37bhaf6WJvuW,Click Ventures,crunchbase
2fgPkEhmT5TMa9crF,Seedcamp,crunchbase
38K7gBAW3bcewmMWY,ANTS (安持资本),manualEntry
3bmQtAzKtP4gHbfsG,David Risher,crunchbase
3hHvsuF972oMWDT6G,Steve Kirsch,crunchbase
3qkpCjj5cLEGcBots,IA Ventures,crunchbase
444oB96Hr4JNGhAuJ,Luxor Capital Group,crunchbase
4DE4reMwkJ4dXCXs4,Carlos Ferri,crunchbase
4NXCqb7fMxHmfXRXR,DeNA,crunchbase
4vLX6Cgd2zNQdhBxT,Shunwei Venture,manualEntry
542TL9icTqH7P9wAx,VAMM Ventures,crunchbase
5wuGGvzqubFjo6dpc,Andrew Barlow,crunchbase
5z4mdSJF8Y7LY93Mj,CITICPE (中信产业基金),manualEntry
6nLBCQmhY3NKCKZ7M,Hollard Investments,crunchbase
7X2AviAJrwxJFXExQ,CDF-Capital (创东方投资),manualEntry
7dvwZhk2Qnbsqr5v4,Team Europe,crunchbase
8Da9YucvJF2pfDubK,Avik Barat,manualEntry
8xBXYtPXG2GsELoSt,Birch Venture Capital,crunchbase
8ycZRGgvoLrxguGA5,Tytus Michalski,crunchbase
9iNoTTsa9uqSQPx2t,Xurpas,crunchbase
9jrgerkCrxMNfi9vY,Sasa Vucinic,crunchbase
9rEHXHDCsvTtbH4b4,RIMU Group,crunchbase
9rvYH5tTbn4aTwrLo,Facebook,crunchbase
A2Mi3BRMwQiNGp2KH,Akbar Group,crunchbase
A8a4dmsCkX8EwF6Y2,China Prosperity Capital,crunchbase
2AcFzriSPXMdPYvyt,Langsheng Investment (朗盛投资),manualEntry
2KPbo6GYyAZHmHjq4,Saurabh Nanavati,crunchbase
2dzdZ4asLCiw5pbK8,Didi Chuxing,manualEntry
3TbSMMhWsGmxtbWos,Michael Levit,crunchbase
3ZNxEs74rPbbdebcD,Insights Investments,manualEntry
3fKRBmuaKdLqw7KJK,Mango V Foundation (芒果V基金) ,manualEntry
3yyNLAk4bFGXfu8Hv,Andy Miller,manualEntry
4FrejCncpanu9Hiak,Owen Van Natta,crunchbase
4dHhB6cvx8ozQgMwt,India Quotient,crunchbase
4wP2BwgJEyxETDQPF,HAKIM,manualEntry
524s6MRZYBicFGSc9,Accion Frontier,crunchbase
5G7PpBGkogutAWWYD,Contango Asset Management,crunchbase
5NghvodigG63JkA6C,KRC Investment (沃石投资),manualEntry
6nRiMnqLMiR3XCnko,Rocket Internet,crunchbase
6q6eBEQefK67wMixF,Beacon New Ventures,crunchbase
6sonSs2jdopvCDFWP,Steve Chen,crunchbase
7ABZxmWvHxsiYPM8Z,Nick Feldman,manualEntry
7FjBCxw6Gfx7jgMXt,Zn Capital (泓域资本),manualEntry
